"C-A-T"	"C-A"	"Season"	"Condition"	"A.exposition"	"Sample"	"n.GC-MS"	"beta.pinene"	"L.alfa.bornyl.acetate"	"beta.Caryophyllene.oxide"	"alfa.Caryophyllene"	"beta.Cubebene"	"alfa.Cubenene"	"delta.Cadinene"
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH1-16"	39	0.348882352941176	0.257823529411765	0.966176470588235	0.124411764705882	0.0772941176470588	0.054	0.150352941176471
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH2-16"	40	0.370103092783505	0.393298969072165	0.814948453608247	0.100515463917526	0	0.0731958762886598	0.0654639175257732
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH3-16"	41	0.268457142857143	0.424285714285714	0.577542857142857	0.0894857142857143	0.117771428571429	0.0822857142857143	0.150685714285714
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH4-16"	42	0.247818974918212	0.161450381679389	0.573664122137404	0.0834242093784079	0.0593784078516903	0.0348418756815703	0.265485278080698
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH5-16"	43	0.397273781902552	0.351856148491879	0.548665893271462	0.0970997679814385	0.114849187935035	0.0736078886310905	0.151914153132251
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD1-15"	23	0.0306020066889632	0.158026755852843	0.831270903010034	0.104347826086957	0	0	0.426421404682274
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD2-15"	24	0.206208791208791	0.143406593406593	0.539010989010989	0.137967032967033	0.134010989010989	0.107307692307692	0.251208791208791
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD3-15"	44	0.299829738933031	0.436719636776391	0.509761634506243	0.068955732122588	0.051589103291714	0.0240068104426788	1.49812712826334
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD4-15"	26	0.161320754716981	0.325638179800222	0.771143174250832	0.0913984461709212	0	0	0.0634295227524972
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD5-15"	27	0.14150289017341	0.367803468208093	0.26271676300578	0.0769942196531792	0.0889595375722543	0.0707514450867052	0.201849710982659
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD1-16"	29	0.475613839285714	0.475613839285714	0.763392857142857	0.111997767857143	0	0.176785714285714	0.263169642857143
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD2-16"	30	0.316053511705686	0.183612040133779	0.472073578595318	0.122909698996656	0.0938127090301003	0.0697324414715719	0.17257525083612
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD3-16"	31	0.10133779264214	0.431939799331104	0.557357859531773	0.0832775919732441	0.0637123745819398	0.0381270903010033	0.670234113712375
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD4-16"	32	0.352302631578947	0.686842105263158	0.716940789473684	0.0883223684210526	0	0	0.028125
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD5-16"	38	0.106446188340807	0.380885650224215	0.246188340807175	0.080213004484305	0.0676008968609865	0.0428811659192825	0.17152466367713
